Summary,Issue Type,Priority,Labels,Description
Auto-pause after 10 seconds silence,Story,High,"mvp,capture","Default: if no speech for 10 seconds after recording starts or after last speech pause the take and show toast."
Optional wake Hey Think Tap / Start recording,Story,High,"mvp,wake-word","Optional hands-free start when Hey Think Tap enabled in Settings."
Optional spoken Stop recording,Story,High,"mvp,capture,wake-word","Optional: after brief pause say Stop recording to finish take. Tap stop remains primary reliable path."
Android support 7 through 16 one path,Story,Medium,"mvp,android","App supports Android 7.0+ (API 24) target API 36. No Platform.Version feature forks."
Capture screen recording state clarity,Task,Medium,"ux,mvp","UI clearly shows Recording Stopping Paused Starting. Primary CTA remains the mic."
Hint copy for spoken stop,Task,Medium,"ux,mvp","Show hint: Pause then say Stop recording — or tap Stop."
Toast feedback for capture events,Task,Low,"ux,mvp","Toasts for started saved Heard Stop silence pause and errors."
Ideas archive categories and count,Task,Low,"ux,mvp","Archive shows categories and thought count."
Idea detail audio transcript language tag,Task,Medium,"ux,mvp","Detail shows playable audio full transcript and language. Analysis UI not required in this MVP build."
Settings Hey Think Tap and speech language,Task,Medium,"ux,mvp","Settings toggles wake word and speech/preview language."
Mic permission denied empty state,Task,Medium,"ux,mvp","Clear error/empty state when microphone permission is denied."
QA visual pass small Android phones,Task,Medium,"ux,qa","Visual QA on small devices (Moto G Vivo etc.)."
Bug spoken Stop not ending take phrase in transcript,Bug,Highest,"android,capture,qa","User said Stop recording multiple times; recording continued and phrase was stored in transcript. Retest on shared APK."
Bug back-to-back only 1-2 thoughts saved,Bug,Highest,"android,capture,qa","Continuous captures reported missing thoughts despite saved toast. Retest 4-5 takes back-to-back."
Bug audio missing on idea detail,Bug,Highest,"android,capture,qa","Thought saved but Voice Recording not playable / no audio file."
Bug mic switches on and off during recording,Bug,High,"android,capture,qa","Mic appears to toggle during take (OEM contention / stop listen). Retest after APK."
Bug Hey Think Tap inconsistent,Bug,High,"android,wake-word,qa","Opening phrase not working properly on some devices."
Bug English transcript inaccurate,Bug,Medium,"stt,qa","Transcript works to an extent but English still inaccurate in places."
Bug continuous capture blocked unless waiting,Bug,High,"android,capture,qa","User felt need to wait between recordings or thoughts were missed."
Document clean release APK build steps,Task,Low,"apk-testing","Document: android gradlew clean assembleRelease; APK at app/build/outputs/apk/release/app-release.apk"
Create Play Store upload keystore,Task,Medium,"apk-testing","Replace debug signing with proper upload/release keystore before store submission."
Define QA sign-off checklist for MVP exit,Task,High,"qa,mvp","Formal MVP exit checklist from TT-TEST device matrix + no-moment-lost criteria."
Out of scope always-on lock-screen start,Task,Low,"next-phase","Parked: always-listening lock-screen hardware-button start (platform R&D)."
Out of scope silence auto-stop as primary stop,Task,Low,"next-phase","Parked: language-agnostic silence auto-stop as primary stop vs phrase/tap."
Out of scope ThinkFlow coaching copy,Task,Low,"next-phase","Parked for full V1 / next build."
Out of scope structured Source Thought extraction,Task,Low,"next-phase","Parked for full V1 / next build."
Out of scope AI Core Insight required card,Task,Low,"next-phase","Parked for full V1 / next build."
Out of scope Deep Intelligence,Task,Low,"next-phase","Parked for full V1 / next build."
Out of scope Retap,Task,Low,"next-phase","Parked for full V1 / next build."
Out of scope pricing subscription gates,Task,Low,"next-phase","Parked for full V1 / next build."
